NMS Service Plan Id,Phone,Parent Account: Account Name,Latest Decommission Date,DSS Order ID,FSO ID,Enterprise ID,Distributor Partner Id,Satellite,Gateway Name,Transponder,Created Date,Latest Commission Date,Last Modified Date,Modem,Beam Id,Offer/Plan Name,Offer Description,Serial Number,Location Status,Lat,Long,location
NC010G1,8032345321,SDC Limited Hyperia,5/7/2018,,3587835,,,Y1B,Y1BLXB,Y1B-B57-OR1,4/10/2018,9/13/2017,5/7/2018,HN9600,Y1B057,YahClick Lite 10GB,,2628531,Inactive,6.691944,5.9875,"MXRQ+Q2 Ugbiyaya,   "
NC010G1,8032345321,SDC Limited Hyperia,5/7/2018,,3587836,,,Y1B,Y1BLXB,Y1B-B57-OR1,4/10/2018,10/5/2017,5/7/2018,HN9600,Y1B057,YahClick Lite 10GB,,2612665,Inactive,5.666667,6.45,"MC8X+MX Opaetenem-Afiaze,   "
NC050G1,7031666248,Pedery Global Concept LTD Hyperia,5/8/2018,,3591540,,,Y1B,Y1BATH,Y1B-B61-OR1,4/10/2018,8/22/2017,5/8/2018,HN9600,Y1B061,YahClick Premium 50GB NI 3,,2619614,Inactive,12.616667,9.383056,"J98M+M6 Gumel,   "
NC010G1,8032345321,SDC Limited Hyperia,5/15/2018,,3587820,,,Y1B,Y1BLXB,Y1B-B57-OR1,4/10/2018,7/27/2017,5/15/2018,HN9600,Y1B057,YahClick Lite 10GB,,2586416,Inactive,7.213056,3.526667,"6G7G+6M Agbontu,   "
NC005G1,7033145347,Poyen Nomovo Hperia,5/16/2018,,3534684,,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,6/16/2016,5/16/2018,HN9260,Y1B051,YahClick Lite 5GB,,2331553,Inactive,5.186111,5.183056,6FQ755PM+C6
NC005G1,(234) 146-1991,Skymax Limited,5/16/2018,,3477386,SKY01294,,Y1B,Y1BLXB,Y1B-B50-OR1,4/10/2018,5/9/2015,5/16/2018,HN9800,Y1B050,YahClick Lite 5GB,,2489601,Inactive,9.316667,12.5,"8G82+M2 Jabura,   "
NC010G1,(234) 146-1991,GREAT BRANDS NIGERIA LIMITED HYPERIA,5/17/2018,,3402143,,,Y1B,Y1BLXB,Y1B-B50-OR2,4/10/2018,9/5/2014,5/17/2018,HN9600,Y1B050,YahClick Lite 10GB,,2585717,Inactive,7.313056,6.151667,"8572+6M Ojirami Oke,   "
NC010G1,8032345321,SDC Limited Hyperia,4/25/2018,,3587728,,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,8/14/2017,5/17/2018,HN9800,Y1B051,YahClick Lite 10GB,,2600464,Inactive,4.083333,7.951944,6FP93XM2+8Q
NC020G1,8032345321,SDC Limited Hyperia,4/25/2018,,3587803,,,Y1B,Y1BLXB,Y1B-B50-OR2,4/10/2018,7/26/2017,5/17/2018,HN9600,Y1B050,YahClick Empower 20GB,,2619757,Inactive,8.966667,4.585278,"XH8P+M4 Iwa,   "
NC010G1,8032345321,SDC Limited Hyperia,4/24/2018,,3587812,,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,7/25/2017,5/17/2018,HN9600,Y1B051,YahClick Lite 10GB,,2619669,Inactive,4.433333,6.995833,"CXMW+88 Egele,   "
NC020G1,8032345321,SDC Limited Hyperia,4/25/2018,,3587810,,,Y1B,Y1BLXB,Y1B-B57-OR1,4/10/2018,7/26/2017,5/17/2018,HN9600,Y1B057,YahClick Empower 20GB,,2619633,Inactive,7.216667,3.516667,"6G88+MM Kayode,   "
NC010G1,7031666248,Pedery Global Hyperia,5/18/2018,,3609340,,,Y1B,Y1BLXB,Y1B-B50-OR1,4/10/2018,1/20/2018,5/18/2018,HN9600,Y1B050,YahClick Lite 10GB,,2785145,Inactive,10.366667,5.45,"9C8X+MX Kontagora,   "
NC005G1,(234) 146-1991,SKYTECH COMM HYPERIA,5/21/2018,,3483368,,,Y1B,Y1BLXB,Y1B-B57-OR1,4/10/2018,6/17/2015,5/21/2018,HN9600,Y1B057,YahClick Lite 5GB,,2588079,Inactive,7.909722,5.470833,"WF5C+V8 Itapaji,   "
NC010G1,8064302604,LuckyTech Network Hyperia,6/11/2018,,3536678,,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,6/30/2016,6/11/2018,HN9600,Y1B051,YahClick Lite 10GB,,2619397,Inactive,4.494722,7.013056,"F2V7+V6 Faluborkiri,   "
NC010G1,7067801613,Ishaq Gidado Hyperia,6/12/2018,,3583433,,,Y1B,Y1BLXB,Y1B-B50-OR1,4/10/2018,6/19/2017,6/12/2018,HN9260,Y1B050,YahClick Lite 10GB,,2331494,Inactive,8.883333,11.35,"V8MX+8XH, 660213, Panti Tugang, Taraba,   "
NC100G1,8034019844,Danyaro Electronics,6/12/2018,,3594758,SKY00018,,Y1B,Y1BATH,Y1B-B61-OR1,4/10/2018,9/13/2017,6/12/2018,HN9800,Y1B061,YahClick Premium 100GB,,2484466,Inactive,12.65,6.033056,"M22M+26 Birnin-Tudu,   "
NC020G1,7031666248,Pedery Global Concept,6/14/2018,,3586876,SKY01041,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,7/17/2017,6/14/2018,HN9800,Y1B051,YahClick Empower 20GB,,2489403,Inactive,5.3325,5.475833,"8FJG+X8 Clough Point,   "
NC200G1,(000) 000-0000,mohammed Isa,6/19/2018,,3600765,SKY01678,,Y1B,Y1BATH,Y1B-B61-OR1,4/10/2018,10/31/2017,6/19/2018,HN9600,Y1B061,YahClick Platinum 200GB,,2784328,Inactive,12.041944,13.917222,"Sheffri Town, Central Market, Dikwa Lga, 611101, Dikwa, Borno,   "
NC200G1,8032345323,mohammed Isa,6/19/2018,,3592886,SKY01678,,Y1B,Y1BATH,Y1B-B61-OR1,4/10/2018,9/8/2017,6/19/2018,HN9800,Y1B061,YahClick Platinum 200GB NI 3,,2483250,Inactive,12.369722,14.206944,"9694+GXH, 611107, Gambaru, Borno,   "
NC005G1,(234) 146-1991,VALA ADAMADA HYPERIA,6/19/2018,,3470945,,,Y1B,Y1BATH,Y1B-B61-OR2,4/10/2018,4/25/2015,6/19/2018,HN9600,Y1B061,YahClick Lite 5GB,,2609627,Inactive,9.183056,12.483056,"2 Lamiido Aliyu Mustapha Road, Modibbo Raji House, Yola Adamawa Yola Town, Madumari 640284, Yola, Adamawa,   "
NC050G1,8150642256,INTERNET SOLUTIONS NIG,6/21/2018,,3595062,SKY01746,,Y1B,Y1BATH,Y1B-B61-OR1,4/10/2018,9/16/2017,6/21/2018,HN9600,Y1B061,YahClick Premium 50GB NI 3,,2609313,Inactive,11.71,9.3525,"P962+2QW, 720101, Dutse, Jigawa,   "
NHE3M01,(234) 146-1991,Getachus Nigeria Limited,6/25/2018,,3370251,SKY01187,,Y1B,Y1BLXB,Y1B-B57-OR1,4/10/2018,4/3/2014,6/25/2018,HN9800,Y1B057,Home 3 Mbps 30D,,2484810,Inactive,6.5025,4.779444,"GQ2H+XRR, 350108, Okitipupa, Ondo,   "
NC020G1,(234) 146-1991,Getachus Nigeria Ltd,7/6/2018,,3404298,SKY00988,,Y1B,Y1BATH,Y1B-B61-OR2,4/10/2018,9/9/2014,7/6/2018,HN9800,Y1B061,YahClick Empower 20GB,,2482402,Inactive,11.813056,13.136667,"R47P+6G6, Makarima Road, 600282, Maiduguri, Borno,   "
NC010G1,8064302604,LuckyTech Network Hyperia,7/13/2018,,3533605,,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,6/9/2016,7/13/2018,HN9600,Y1B051,YahClick Lite 10GB,,2628619,Inactive,5.533056,6.991667,"GXMR+6M Ndegwu,   "
NHE3M01,(234) 146-1991,Virinfosys Nigeria Limited,7/20/2018,,3317351,SKY00723,,Y1B,Y1BATH,Y1B-B61-OR1,4/10/2018,8/31/2013,7/20/2018,HN9460,Y1B061,Home 3 Mbps 30D,,2365809,Inactive,9.25,12.416667,"7C28+2M Wuro Jebbe,   "
NC050G1,8059056947,Fidmart Hyperia,7/20/2018,,3532510,,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,5/31/2016,7/20/2018,HN9260,Y1B051,YahClick Premium 50GB,,2501367,Inactive,6.343694,9.417,"8CV8+FR Kotele,   "
NC005G1,2.34703E+12,Sbliji Technology,7/23/2018,,3585892,SKY01699,,Y1B,Y1BATH,Y1B-B61-OR1,4/10/2018,7/7/2017,7/23/2018,HN9800,Y1B061,YahClick Lite 5GB,,2485064,Inactive,11.066667,13.666667,"3M88+MM Gwoza,   "
NHE3M01,8033866782,FRANDAP Hyperia,7/24/2018,,3480570,,,Y1B,Y1BLXB,Y1B-B57-OR1,4/10/2018,5/29/2015,7/24/2018,HN9600,Y1B057,Home 3 Mbps 30D,,2588127,Inactive,6.183056,6.524167,"5GMF+7Q9, 320109, Ogwashi-Ukwu, Delta,   "
NC010G1,8034019844,Danyaro Electronics,8/1/2018,,3589083,SKY00018,,Y1B,Y1BATH,Y1B-B61-OR1,4/10/2018,8/1/2017,8/1/2018,HN9600,Y1B061,YahClick Lite 10GB,,2586243,Inactive,11.48,13.08,"F3JJ+22 Mallulum,   "
NC050G1,8038906138,Tovic Interface,8/3/2018,,3555140,SKY00826,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,11/18/2016,8/3/2018,HN9800,Y1B051,YahClick Premium 50GB,,2600168,Inactive,-5.245278,7.405278,6F69QC34+V4
NC005G1,(234) 146-1991,ZAT DIRECT LTD HYPERIA,8/7/2018,,3380972,,,Y1B,Y1BLXB,Y1B-B57-OR1,4/10/2018,5/14/2014,8/7/2018,HN9600,Y1B057,YahClick Lite 5GB,,2610642,Inactive,7,4.566667,"2H28+2M Emuren II,   "
NC020G1,8064906237,The Emco Company Hyperia,8/11/2018,,3530525,,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,5/19/2016,8/12/2018,HN9600,Y1B051,YahClick Empower 20GB,,2619949,Inactive,6.474167,7.551667,"No 28 pennok estate, Emene 400104, Enugu,   "
NC005G1,(234) 146-1991,THE EMCO COMPANY HYPERIA,8/11/2018,,3497396,,,Y1B,Y1BLXB,Y1B-B51-OR2,4/10/2018,10/3/2015,8/12/2018,HN9260,Y1B051,YahClick Lite 5GB,,2332194,Inactive,6.484583,7.482111,"89 Mary Emmanuel St, Trans-Ekulu 400103, Enugu,   "
NC020G1,8035722901,Eibex Computers,8/17/2018,,3590943,SKY01741,,Y1B,Y1BATH,Y1B-B61-OR1,4/10/2018,8/14/2017,8/17/2018,HN9600,Y1B061,YahClick Empower 20GB,,2619788,Inactive,10.566667,12.183056,"H58M+M6 Tanga,   "
NV130G1,(234) 146-1991,UMAR SALISU,8/24/2018,,3284623,,,Y1B,Y1BLXB,Y1B-B50-OR1,4/10/2018,12/6/2012,8/24/2018,HN9260,Y1B050,YahClick V_Infinity,,2297368,Inactive,8.953583,10.2175,"X639+C2 Gwiwan Kogi,   "
NC050G1,2.34146E+12,Pedery Global concept LTD,8/24/2018,,3462530,SKY01449,,Y1B,Y1BATH,Y1B-B61-OR2,4/10/2018,1/31/2015,8/24/2018,HN9800,Y1B061,YahClick Premium 50GB,,2489322,Inactive,12.433056,7.65,"CMM2+62 Kunduru,   "
NC030G1,2.34146E+12,BAUCHI STATE UNIVERSITY HYPERIA,8/31/2018,,3516084,,,Y1B,Y1BATH,Y1B-B61-OR1,4/10/2018,2/12/2016,8/31/2018,HN9260,Y1B061,YahClick Empower 30GB,,2299963,Inactive,11.832778,10.166667,"Along University Road, 751105, Gadau, Bauchi,   "
NC020G1,8099534747,REHOTEK TECHNOLOGIES LTD,9/1/2018,,3560461,SKY01463,,Y1B,Y1BLXB,Y1B-B50-OR1,4/10/2018,12/31/2016,9/2/2018,HN9800,Y1B050,YahClick Empower 20GB,,2489991,Inactive,9.066667,7.466667,"3F88+QPG, Herbert Macaulay Way, Wuse 904101, Abuja, Federal Capital Territory,   "
NHE3M01,(234) 146-1991,SKYMAX CAFE PLUS HYPERIA,9/3/2018,,3334423,,,Y1B,Y1BLXB,Y1B-B50-OR2,4/10/2018,6/11/2013,9/3/2018,HN9260,Y1B050,Home 3 Mbps 30D,,2331431,Inactive,10.992972,13.548722,"XGVX+5F Apagu Hamlets,   "
NC005G1,(234) 146-1991,HYTENS SOLUTIONS HYPERIA,9/4/2018,,3506163,,,Y1B,Y1BLXB,Y1B-B57-OR2,4/10/2018,2/12/2016,9/4/2018,HN9600,Y1B057,YahClick Lite 5GB,,2636266,Inactive,6.566667,3.25,"H782+M3H, Igando Road, Ikotun 102213, Lagos,   "
,(234) 146-1991,HYTENS SOLUTIONS HYPERIA,7/25/2016,,3506163,,,Y1B,Y1BLXB,Y1B-B57-OR2,4/12/2018,2/12/2016,9/4/2018,HN9600,Y1B057,YahClick Lite 5GB,,2628552,Inactive,6.566667,3.25,"H782+M3H, Igando Road, Ikotun 102213, Lagos,   "
NC020G1,8176573133,Specstech Africa Hyperia,9/5/2018,,3535511,,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,6/27/2016,9/5/2018,HN9600,Y1B051,YahClick Empower 20GB,,2628548,Inactive,6.566667,8.016667,"H288+MM Okposhi Mgbo,   "
NC020G1,8176573133,Specstech Africa Hyperia,9/5/2018,,3535513,,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,6/24/2016,9/5/2018,HN9600,Y1B051,YahClick Empower 20GB,,2628028,Inactive,6.583056,8.183056,"H5MM+66 Edufachi,   "
NC050G1,8176573133,Specstech Africa,9/5/2018,,3535520,SKY01487,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,6/24/2016,9/5/2018,HN9800,Y1B051,YahClick Premium 50GB,,2482596,Inactive,6.983333,8.116389,"X4M8+8H Ojuje,   "
NHE3M01,(234) 146-1991,Darycet Ltd,9/7/2018,,3377450,SKY01358,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,4/30/2014,9/7/2018,HN9800,Y1B051,Home 3 Mbps 30D,,2489916,Inactive,4.983056,7.283056,"X7MM+66 Asa,   "
,(234) 146-1991,Darycet Ltd,6/3/2015,,3377450,SKY01358,,Y1B,Y1BLXB,Y1B-B51-OR1,9/7/2018,4/30/2014,9/7/2018,HN9800,Y1B051,Home 3 Mbps 30D,,2484290,Inactive,4.983056,7.283056,"X7MM+66 Asa,   "
NC200G1,(080) 615-0526,Bukar Usman Baba,9/7/2018,,3527312,SKY01623,,Y1B,Y1BATH,Y1B-B61-OR2,4/10/2018,4/25/2016,9/7/2018,HN9800,Y1B061,YahClick Platinum 200GB,,2600417,Inactive,9.192222,12.5125,"5GR6+XHV, opposite mautech quaters, 640230, Yola, Adamawa,   "
NC050G1,7031666248,Pedery Global Concept LTD Hyperia,9/10/2018,,3591537,,,Y1B,Y1BATH,Y1B-B61-OR1,4/10/2018,8/23/2017,9/10/2018,HN9600,Y1B061,YahClick Premium 50GB NI 3,,2619382,Inactive,12,9.566667,"2H28+2M Maje,   "
NHE3M01,(234) 146-1991,TIPLOGO NIGERIA LTD,9/14/2018,,3373921,SKY01335,,Y1B,Y1BLXB,Y1B-B57-OR2,4/10/2018,4/16/2014,9/14/2018,HN9800,Y1B057,Home 3 Mbps 30D,,2484634,Inactive,6.349722,4.799722,"8QXX+VV Igbokoda,   "
NHE3M01,2.34146E+12,KAMALU ANTHONY HYPERIA,9/21/2018,,3487650,,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,7/31/2015,9/21/2018,HN9600,Y1B051,Home 3 Mbps 30D,,2627996,Inactive,5.466667,7.016667,"F288+MG6, Hon, Esom Obodo, New Owerri 460281, Owerri, Imo,   "
NC005G1,(234) 146-1991,Alhaji Mohammed Kida,9/21/2018,,3338978,SKY01001,,Y1B,Y1BATH,Y1B-B61-OR2,4/10/2018,11/30/2013,9/21/2018,HN9800,Y1B061,YahClick Lite 5GB,,2483050,Inactive,11.706667,11.085,"P34P+R43, General Abubakar Waziri St, 622101, Potiskum, Yobe,   "
NC030G1,7033372442,SKITCOMM,9/26/2018,,3557718,SKY01467,,Y1B,Y1BLXB,Y1B-B57-OR1,4/10/2018,12/9/2016,9/26/2018,HN9800,Y1B057,YahClick Empower 30GB,,2600390,Inactive,6.908889,3.563889,"WH57+HH Gbara Bagbimo,   "
NC005G1,2.34146E+12,SYSCOMPTECH HYPERIA,9/28/2018,,3503323,,,Y1B,Y1BLXB,Y1B-B57-OR1,4/10/2018,11/16/2015,9/28/2018,HN9600,Y1B057,YahClick Lite 5GB,,2619660,Inactive,6.833333,5.628694,"RJMH+8F Ute,   "
NC005G1,(234) 146-1991,SYSCOMPTECH HYPERIA,9/28/2018,,3503329,,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,11/13/2015,9/28/2018,HN9600,Y1B051,YahClick Lite 5GB,,2585707,Inactive,5.166667,5.972278,"5X8C+MW Olodiama,   "
NC005G1,2.34146E+12,SYSCOMPTECH HYPERIA,9/28/2018,,3503332,,,Y1B,Y1BLXB,Y1B-B57-OR1,4/10/2018,11/17/2015,9/28/2018,HN9600,Y1B057,YahClick Lite 5GB,,2585630,Inactive,6.283333,6.203611,"76M3+8C Ditah,   "
NC020G1,(234) 146-1991,JADE TECH COMMS,10/2/2018,,3334407,SKY00967,,Y1B,Y1BLXB,Y1B-B57-OR1,4/10/2018,11/14/2013,10/2/2018,HN9460,Y1B057,YahClick Empower 20GB NI 3,,2365928,Inactive,6.565556,3.332222,"15 Kalejaye St, Mafoluku Oshodi 102214, Lagos,   "
NC030G1,8081505326,Babanyaya Computers,10/9/2018,,3554884,SKY00021,,Y1B,Y1BATH,Y1B-B61-OR2,4/10/2018,11/16/2016,10/9/2018,HN9800,Y1B061,YahClick Empower 30GB,,2484418,Inactive,10.804444,13.459722,"RF35+QV Gulak,   "
NC005G1,(234) 146-1991,SYSCOMPTECH HYPERIA,10/11/2018,,3503317,,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,11/19/2015,10/11/2018,HN9600,Y1B051,YahClick Lite 5GB,,2610558,Inactive,4.033333,7.004861,6FP922M3+8W
NC020G1,(234) 146-1991,Blue Point Communication,10/12/2018,,3371027,SKY01244,,Y1B,Y1BLXB,Y1B-B50-OR1,4/10/2018,4/4/2014,10/12/2018,HN9800,Y1B050,YahClick Empower 20GB,,2475926,Inactive,10.7,7.44,"PC2Q+2X Mungaye,   "
NHE3M01,(234) 146-1991,ANWORD TECH HYPERIA,10/12/2018,,3379477,,,Y1B,Y1BLXB,Y1B-B50-OR1,4/10/2018,5/7/2014,10/12/2018,HN9600,Y1B050,Home 3 Mbps 30D,,2628231,Inactive,8.597528,7.255944,"H7X4+29 Kumao,   "
NC020G1,(234) 146-1991,FULL BENEFIT CONSULTING HYPERIA,10/15/2018,,3512690,,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,1/21/2016,10/15/2018,HN9260,Y1B051,YahClick Empower 20GB,,2297126,Inactive,6.673611,9.169444,"M5F9+7CC, 552106, Obudu, Cross River,   "
NC010G1,(000) 000-0000,Moses Datsu,10/17/2018,,3612013,SKY01594,,Y1B,Y1BLXB,Y1B-B50-OR1,4/10/2018,3/1/2018,10/17/2018,HN9260,Y1B050,YahClick Lite 10GB,,2331509,Inactive,8.9,11.366694,"W928+2M3, 660213, Jalingo, Taraba,   "
NHE3M01,8104939366,FRANDAP COMMUNICATION Hyperia,10/17/2018,,3535744,,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,6/24/2016,10/17/2018,HN9600,Y1B051,Home 3 Mbps 30D,,2628283,Inactive,5.325556,6.225278,"86GG+64 Uzere,   "
NC020G1,(234) 146-1991,GREAT BRANDS HYPERIA,10/25/2018,,3465431,,,Y1B,Y1BLXB,Y1B-B57-OR1,4/10/2018,2/21/2015,10/25/2018,HN9600,Y1B057,YahClick Empower 20GB,,2586486,Inactive,7.781667,4.556389,"11 Obafemi Awolowo Way, 230103, Osogbo, Osun,   "
NC020G1,7031666248,Pedery Global concept LTD,10/29/2018,,3573786,SKY01207,,Y1B,Y1BLXB,Y1B-B50-OR1,4/10/2018,4/10/2017,10/29/2018,HN9800,Y1B050,YahClick Empower 20GB,,2484427,Inactive,9.086667,7.366667,"39P8+MM Abuja,   "
,8035898556,Nasarawa State Govt,11/27/2016,,3522083,SKY01603,,Y1B,Y1BLXB,Y1B-B50-OR1,10/31/2018,6/28/2016,10/31/2018,HN9800,Y1B050,YahClick Premium 50GB,,2489389,Inactive,9.342083,7.432083,"8CRJ+RR Gaba,   "
NC050G1,8035898556,Nasarawa State Govt,10/31/2018,,3522083,SKY01603,,Y1B,Y1BLXB,Y1B-B50-OR1,4/10/2018,6/28/2016,10/31/2018,HN9600,Y1B050,YahClick Premium 50GB,,2609538,Inactive,9.342083,7.432083,"8CRJ+RR Gaba,   "
NHE3M01,(234) 146-1991,Skitcom,11/1/2018,,3508389,SKY01580,,Y1B,Y1BLXB,Y1B-B57-OR1,4/10/2018,12/21/2015,11/1/2018,HN9260,Y1B057,Home 3 Mbps 30D,,2296837,Inactive,6.842444,3.644944,"71 Akarigbo Rd, 121001, Sagamu, Ogun State,   "
,8079890036,VFS Abuja Hyperia,11/5/2018,,3405059,,,Y1B,Y1BLXB,Y1B-B50-OR1,11/5/2018,9/12/2014,11/5/2018,HN9600,Y1B050,Home 1 Mbps,,2609538,Inactive,9.033056,7.283056,"27MM+66 Gwaska,   "
NC200G1,(081) 833-6167,BripCenak Nigeria Limited Hyperia,11/10/2018,,3610402,,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,1/12/2018,11/10/2018,HN9800,Y1B051,YahClick Platinum 200GB,,2488530,Inactive,4.466667,7,"F282+M2 Elem-Tombia,   "
NC020G1,8028271312,Reem Engineering Limited Hyperia,11/10/2018,,3572772,,,Y1B,Y1BLXB,Y1B-B50-OR1,4/10/2018,4/6/2017,11/10/2018,HN9600,Y1B050,YahClick Empower 20GB,,2619891,Inactive,9.056944,7.402222,"3C42+QXJ, 900108, Abuja, Federal Capital Territory,   "
NC030G1,7038782608,Dijiweb Hyperia,11/19/2018,,3566815,,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,2/17/2017,11/19/2018,HN9600,Y1B051,YahClick Empower 30GB,,2551016,Inactive,5.6,5.309722,"H8X5+XV Kalajagba Creek,   "
NC100G1,9081692174,TOPJOLEX LIMITED,11/29/2018,,3587248,SKY01737,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,12/18/2017,11/29/2018,HN9800,Y1B051,YahClick Premium 100GB,,2484381,Inactive,5.656944,5.950833,"MX42+Q8 Okpara Inland,   "
NC050G1,7065224863,Orbit Network Tech Hyperia,12/10/2018,,3559219,,,Y1B,Y1BLXB,Y1B-B51-OR1,4/10/2018,12/20/2016,12/10/2018,HN9260,Y1B051,YahClick Premium 50GB,,2299473,Inactive,5.816667,7.333333,"R88M+M8 Umuokwara,   "
NC005G1,(234) 146-1991,Skymax Limited,12/11/2018,,3397360,SKY01294,,Y1B,Y1BLXB,Y1B-B50-OR1,4/10/2018,7/26/2014,12/11/2018,HN9800,Y1B050,YahClick Lite 5GB,,2489387,Inactive,9.491667,12.471111,"FFRC+MC Modibbo,   "
